id,brand,model,year,fuel,kms,price,transmission
621cfd506b1fb207ce4c60b3,BMW,X5,2008,d,188000.0,24999.0,
63389ceea50d94a8c409d682,Skoda,Karoq,2019,d,36000.0,62000.0,
62b533b955aec02fa80d06b2,VW,Golf,2007,d,179000.0,7500.0,
633350b6cf0e9758330080a4,Mercedes-Benz,C,2009,d,291000.0,10200.0,
632c8b1a509bba5dbd0a31f8,Citroen,C3,2007,p,160375.0,4200.0,
6308820f5de141987c022856,Toyota,Avensis,2002,p,303000.0,7700.0,
6095230470d74a4af91835b3,Mercedes-Benz,CLC,2010,d,190000.0,12700.0,
6323690def521aa52f0bebe8,Skoda,Superb,2010,d,187000.0,14600.0,
63036a89236c9895d5040d93,BMW,X1,2015,d,123000.0,24900.0,
633edee52a0ab8b2650a4223,Peugeot,508,2011,p,161000.0,13900.0,
62f684934c470ed9b40b5704,BMW,325,2009,d,179000.0,13799.0,
62ee7555456d16583f00ac92,VW,Passat,2005,d,245000.0,7500.0,
632dcad29eeb578dba042ed3,Hyundai,i30,2011,d,124000.0,8899.0,
633efbd7951eebc3f40105f4,Fiat,Bravo,2008,d,19912331.0,5999.0,
6342da63d6b554a0c5089574,BMW,520,2001,d,447000.0,4000.0,
62fcaa73c6eac8f54609a583,Peugeot,308,2011,d,160000.0,9800.0,
6342da6886ca1020160d8ad2,Subaru,Impreza,2007,p,269000.0,6300.0,
6331c9880f2963d15209e634,VW,Passat,2009,p,211000.0,8300.0,
6342da8ddf132d93b9060764,VW,Golf,1996,p,277350.0,1999.0,
62d916fdeeb5a7c47d00e6b4,Hyundai,i30,2010,d,178000.0,7799.0,
63402e7acff63527e1096d52,Peugeot,308,2012,d,270020.0,8950.0,
627139bebf9d9180e00c8092,Toyota,Yaris,2009,d,160000.0,8799.0,
626d8487258b06543c032162,Ford,Focus,2006,p,250000.0,4699.0,
626402f5061603fdf8034e52,Audi,A4,2003,d,274000.0,4599.0,
63416c9777a5cfa5630bbaf6,Peugeot,207,2007,p,125000.0,6500.0,
623a0e63eb9c8d1f9c0a53f4,Toyota,Urban,2009,d,211000.0,11699.0,
6342da4192c888b7f20951f3,Audi,A4,2000,d,217000.0,4900.0,
6342d9fadf132d93b9060763,Opel,Antara,2009,d,18900.0,8989.0,
63397c14a6648bd2ce05fdd3,Honda,Civic,2007,d,198640.0,8800.0,
6342d975bff8ba607208ed64,Mercedes-Benz,SLK,1998,p,250000.0,2000.0,
6318b7e297e1f58467034b34,Smart,ForTwo,2009,p,120856.0,6500.0,
630d01ed915996b692037c63,Renault,Kangoo,2008,d,133000.0,5300.0,
630a4150098aac98c1008a52,Citroen,C3,2004,d,280000.0,2000.0,
631a26fcec2853aa620d5354,Toyota,Yaris,2006,p,150000.0,7199.0,
6304b451ec670aeb5f0e1942,Jeep,Grand,1999,d,200000.0,6500.0,
632adaa39d905a6e77026df2,Suzuki,Grand,2002,d,195000.0,9800.0,
633ab924db2bace6df0eb825,Seat,Exeo,2010,d,185000.0,11000.0,
632dc253888674996c0cc4c3,Mercedes-Benz,124,1989,d,200000.0,2800.0,
6337ead7d9dae9c3290ee423,Mitsubishi,Colt,2007,p,91200.0,4500.0,
630a0b91c81ba877e90b3e53,Nissan,Terrano,2002,d,123456.0,2999.0,
634155d1faa2ec3d8b0083a4,Ford,Focus,2001,d,276000.0,2800.0,
634069d73eb0121ee206c573,Mercedes-Benz,C,2006,d,301654.0,6499.0,
633c26f39a491cee7b063dd4,Ford,Maverick,2003,p,280000.0,5599.0,
614c3e324b410668997be7f8,Jaguar,X,2002,p,173577.0,4300.0,
633ebf30ca3131047e04b442,Volvo,V70,2006,d,186540.0,7200.0,
62f2960522802949970519c2,Peugeot,3008,2012,d,198000.0,12300.0,
62f669fbf364f99a92008ef6,Mazda,3,2006,p,172000.0,6300.0,
63236474b9acaf98640975a2,Renault,Clio,2007,p,250000.0,5499.0,
63332f94baf0b13c800cca52,VW,Polo,2010,d,238956.0,7999.0,
633598819dd79934490b0e23,Fiat,Croma,2007,d,253000.0,3200.0,
631de29243b46de08f0f5262,Nissan,Almera,2003,d,206000.0,3000.0,
633322aa959b069910040624,BMW,118,2007,d,279563.0,6999.0,
6342d8bdf82c23d41a06fa32,Opel,Astra,2005,d,240000.0,4300.0,
6283a71909d86c9ede070073,Opel,Insignia,2012,d,174600.0,8350.0,
633ebc9c01f70a34800b8642,Peugeot,307,2006,p,110000.0,6300.0,
633d70fe62ffd949de001492,Subaru,Justy,2004,p,142000.0,5400.0,
632dac09d70a7f2367037aa2,Alfa,Romeo,2007,d,293520.0,6000.0,
633d7358326dfb117404f522,Smart,ForTwo,2004,p,86000.0,4600.0,
633053b13dc3e154480a7174,Toyota,RAV,2008,d,191350.0,10800.0,
6342d7b1c8f266f76f0b00f6,VW,Golf,1996,p,335000.0,1700.0,
6342d75c74963945510ef4f2,VW,Passat,2011,d,260000.0,15000.0,
633c42193bfad955db08aa12,VW,Polo,2005,p,176000.0,4650.0,
6342d726cb54728c370823c5,BMW,318,2004,p,203500.0,6990.0,
61683eb0e54cdd21101e01a2,Opel,Astra,2002,p,167300.0,5500.0,
62f66c9aea8399197404e454,Peugeot,207,2008,p,174000.0,6700.0,
62fe22ff5ae24b4d71097792,Chevrolet,Captiva,2013,d,168000.0,19400.0,
605c69977d1c7101a33ad552,Nissan,Micra,2007,p,152000.0,5200.0,
6342d6d15b262af5c30a55d2,BMW,550,2013,d,274000.0,27900.0,
6342d69fc4bb6735d507a862,Citroen,C3,2003,p,267669.0,4000.0,
62d9033fc06a9f62c30dbd92,BMW,325,2006,p,350000.0,8499.0,
6337549d4a7ea9cebb0ee602,Mercedes-Benz,CLS,2010,d,207000.0,22555.0,
62751b634edbb08fbe0005b2,Nissan,Terrano,2002,d,1.0,9850.0,
62adc336f9c64c42f203cd13,VW,Tiguan,2015,p,123653.0,25450.0,
5dab4002b1d3c823187df543,Opel,Corsa,2007,d,158179.0,5150.0,
6083c65978bd5b7ca15f06b2,Citroen,C3,2010,p,71014.0,4950.0,
60c4b0ec5b1982447b3f0e82,Citroen,C3,2007,p,1.0,4350.0,
